frame,mode,state,level,enemyCount,normalBulletCount,orbitBulletCount,queryCount,nearbyCandidateCount,bruteForceCandidateCount,candidateReductionPercent,spatialBuildMilliseconds,collisionMilliseconds,separationMilliseconds
1,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
2,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
3,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
4,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
5,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
6,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
7,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
8,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
9,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
10,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
11,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
12,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
13,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
14,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
15,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
16,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
17,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
18,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
19,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
20,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
21,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
22,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
23,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
24,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
25,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
26,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
27,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
28,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
29,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
30,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
31,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
32,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
33,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
34,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
35,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
36,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
37,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
38,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
39,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
