hpPosition,440,690
coinDigitPosition,70,58
killDigitPosition,150,58
counterDigitSize,14,20
gameplayMiniMapPosition,1102,96
gameplayMiniMapScale,0.30
bossHpPosition,340,118
bossHpSize,600,24
expFramePosition,0,0
expGaugeSize,1274,34
hpSize,400,18
expFrameSize,1280,40
lvLabelPosition,1142,50
expGaugePosition,3,3
lvLabelSize,64,36
lvDigitsPosition,1210,50
lvDigitSize,26,36
lvScale,1
timerPosition,590,55
miniMapEnemyIconSize,20
timerScale,1
miniMapBackgroundPosition,0,0
miniMapBackgroundSize,512,512
miniMapCenter,256,256
miniMapRadius,238
miniMapScale,3
miniMapPlayerIconSize,20
miniMapOrbIconSize,20
miniMapVisible,1
keyUiPosition,70,500
keyUiSize,240,124
keyUiVisible,1
